INSUMO,CANTIDAD,DÍA,MES,PLATO,DESPERDICIO
Lomo de res,1,Lunes,Enero,Lomo Saltado,0.1
Cebolla,1,Lunes,Enero,Lomo Saltado,0.05
Tomate,1,Lunes,Enero,Lomo Saltado,0.05
Papa,2,Lunes,Enero,Lomo Saltado,0.2
Sillao,1,Lunes,Enero,Lomo Saltado,0.02
Vinagre,1,Lunes,Enero,Lomo Saltado,0.02
Aceite,1,Lunes,Enero,Lomo Saltado,0.05
Pechuga de pollo,2,Martes,Febrero,Ají de Gallina,0.15
Pan,6,Martes,Febrero,Ají de Gallina,0.1
Leche,2,Martes,Febrero,Ají de Gallina,0.1
Ají amarillo,1,Martes,Febrero,Ají de Gallina,0.05
Arroz,2,Martes,Febrero,Ají de Gallina,0.1
Pescado corvina,2,Miércoles,Marzo,Ceviche de Pescado,0.2
Limón,2,Miércoles,Marzo,Ceviche de Pescado,0.1
Cebolla,1,Miércoles,Marzo,Ceviche de Pescado,0.05
Ají limo,1,Miércoles,Marzo,Ceviche de Pescado,0.02
Culantro,1,Miércoles,Marzo,Ceviche de Pescado,0.02
Choclo,1,Miércoles,Marzo,Ceviche de Pescado,0.1
Camote,1,Miércoles,Marzo,Ceviche de Pescado,0.1
Mariscos mixtos,2,Jueves,Abril,Arroz con Mariscos,0.2
Arroz,2,Jueves,Abril,Arroz con Mariscos,0.1
Pimiento,1,Jueves,Abril,Arroz con Mariscos,0.05
Cebolla,1,Jueves,Abril,Arroz con Mariscos,0.05
Ajo,1,Jueves,Abril,Arroz con Mariscos,0.02
Ají panca,1,Jueves,Abril,Arroz con Mariscos,0.02
Pollo entero,1,Viernes,Mayo,Pollo a la Brasa,0.3
Cerveza,2,Viernes,Mayo,Pollo a la Brasa,0.1
Romero,1,Viernes,Mayo,Pollo a la Brasa,0.02
Ajo,1,Viernes,Mayo,Pollo a la Brasa,0.02
Comino,1,Viernes,Mayo,Pollo a la Brasa,0.02
Papa,3,Viernes,Mayo,Pollo a la Brasa,0.3
Aceite,2,Viernes,Mayo,Pollo a la Brasa,0.1
Papa amarilla,2,Sábado,Junio,Causa Rellena,0.2
Pechuga de pollo,1,Sábado,Junio,Causa Rellena,0.1
Limón,1,Sábado,Junio,Causa Rellena,0.05
